Company,Location_HQ,Industry,Laid_Off_Count,Date,Source,Funds_Raised,Stage,Date_Added,Country,Percentage,List_of_Employees_Laid_Off
Vendasta,Saskatoon,Marketing,,2023-09-29,https://betakit.com/saskatoon-software-startups-vendasta-7shifts-andgo-systems-make-layoffs/,178.0,Series D,2023-09-29 21:22:58,Canada,,Unknown
Epic Games,Raleigh,Consumer,870,2023-09-28,https://techcrunch.com/2023/09/28/fortnite-maker-epic-games-is-laying-off-16-of-its-workforce/,6400.0,Unknown,2023-09-28 18:31:30,United States,0.16,Unknown
Lululemon Studio,New York City,Fitness,120,2023-09-28,https://www.businessinsider.com/lululemon-lays-off-workers-discontinues-mirror-amid-peloton-deal-2023-9,75.0,Acquired,2023-09-29 02:43:32,United States,,Unknown
2U,Washington D.C.,Education,,2023-09-28,https://2u.com/latest/organizational-changes-2u/,426.0,Post-IPO,2023-09-29 23:10:38,United States,,Unknown
Fit Analytics,Berlin,Retail,,2023-09-28,https://www.businessinsider.de/gruenderszene/technologie/nach-uebernahme-snap-kuendigt-allen-mitarbeitern-von-berliner-ki-startup/,,Acquired,2023-09-29 02:45:14,United States,1.0,Unknown
Snap,Los Angeles,Consumer,170,2023-09-27,https://newsroom.snap.com/ar-enterprise-strategic-review,4900.0,Post-IPO,2023-09-28 00:03:40,United States,,Unknown
Fi.Money,Bengaluru,Finance,30,2023-09-27,https://entrackr.com/2023/09/neobank-fi-lays-off-10-of-workforce/,137.0,Series C,2023-09-28 00:01:25,India,0.1,Unknown
Dunzo,Bengaluru,Food,150,2023-09-26,https://www.entrepreneur.com/en-in/news-and-trends/dunzo-announces-fresh-round-of-layoffs/459709,458.0,Unknown,2023-09-27 02:38:11,India,0.3,Unknown
Flexe,Seattle,Logistics,131,2023-09-26,https://www.geekwire.com/2023/seattle-warehousing-startup-flexe-lays-off-33-of-workforce-amid-freight-industry-slowdown/,263.0,Series D,2023-09-27 02:37:30,United States,0.33,Unknown
Talkdesk,SF Bay Area,Support,,2023-09-26,https://techcrunch.com/2023/09/26/talkdesk-conducts-third-round-of-layoffs-in-less-than-14-months/,497.0,Series D,2023-09-27 02:36:46,United States,,Unknown
Lucid Software,Salt Lake City,Other,75,2023-09-25,https://lucid.co/blog/a-message-to-lucid-employees,170.0,Series E,2023-09-25 22:30:32,United States,0.07,Unknown
Eat Just,SF Bay Area,Food,40,2023-09-22,https://news.bloomberglaw.com/daily-labor-report/vegan-egg-maker-eat-just-cuts-jobs-after-raising-money-1,465.0,Unknown,2023-10-02 15:49:38,United States,,Unknown
Appsmith,SF Bay Area,Unknown,35,2023-09-22,https://inc42.com/buzz/exclusive-insight-partners-backed-appsmith-lays-off-25-of-its-workforce/,51.0,Series B,2023-09-24 17:50:08,United States,0.25,Unknown
Roblox,New York City,Consumer,30,2023-09-22,https://techcrunch.com/2023/09/21/roblox-cuts-30-on-talent-acquisition-team-as-hiring-slows/,857.0,Post-IPO,2023-09-22 00:09:34,United States,,Unknown
Foodpanda,Singapore,Food,,2023-09-22,https://www.cnbc.com/2023/09/22/foodpanda-confirms-talks-to-sell-part-of-its-asia-business-layoffs.html,749.0,Acquired,2023-09-24 17:45:37,Singapore,,Unknown
Recast,Edinburgh,Media,,2023-09-22,https://www.linkedin.com/posts/recasttv_were-very-sad-to-share-the-news-that-despite-activity-7110960509750796288-hqzt/,14.0,Series A,2023-09-24 17:47:36,United Kingdom,1.0,Unknown
DealShare,Bengaluru,Retail,130,2023-09-21,https://yourstory.com/2023/09/dealshare-shuts-b2b-business-lays-off-employees,390.0,Series E,2023-09-24 17:29:32,India,,Unknown
Merative,Dublin,Healthcare,100,2023-09-21,https://www.irishexaminer.com/business/companies/arid-41230633.html,,Acquired,2023-09-24 17:48:34,United States,,Unknown
Robinhood,SF Bay Area,Finance,,2023-09-21,https://www.businessinsider.com/robinhood-layoffs-reorganization-credit-cards-shrinking-user-base-insiders-say-2023-9,5600.0,Post-IPO,2023-09-24 17:42:12,United States,,Unknown
Akudo,Bengaluru,Finance,,2023-09-20,https://entrackr.com/2023/09/exclusive-y-combinator-backed-akudo-to-shut-down-ops/,4.0,Seed,2023-12-04 03:06:34,India,1.0,Unknown
Outreach,Seattle,Sales,,2023-09-20,https://www.geekwire.com/2023/more-layoffs-at-outreach-seattle-sales-software-startup-cuts-12-of-staff/,489.0,Series G,2023-09-22 00:07:26,United States,0.12,Unknown
Truss Works,SF Bay Area,Real Estate,,2023-09-20,Internal memo,,Unknown,2023-09-25 23:11:46,United States,,Unknown
Nowadays,SF Bay Area,Food,,2023-09-18,https://www.linkedin.com/posts/max-elder_hi-friends-with-a-heart-full-of-gratitude-activity-7107774956486230016-IKOz/,10.0,Seed,2023-10-02 15:48:55,United States,1.0,Unknown
Cisco,SF Bay Area,Infrastructure,350,2023-09-17,https://www.marketwatch.com/story/cisco-to-cut-350-jobs-in-latest-round-of-layoffs-f9084451,2.0,Post-IPO,2023-09-20 21:11:53,United States,,Unknown
Hooray Foods,SF Bay Area,Food,,2023-09-17,https://www.bizjournals.com/sanfrancisco/news/2023/09/18/plant-bacon-hooray-foods-alternative-protein.html,7.0,Seed,2023-09-21 07:10:46,United States,1.0,Unknown
Sage Therapeutics copy,Boston,Healthcare,290,2023-09-15,https://www.bizjournals.com/boston/news/2023/09/15/sage-therapeutics-cambridge-layoffs.html,438.0,Post-IPO,2023-09-21 07:06:44,United States,,Unknown
7shifts,Saskatoon,Food,30,2023-09-15,https://www.linkedin.com/feed/update/urn:li:activity:7108084382132801536/,131.0,Series C,2023-09-21 07:21:33,Canada,0.07,https://docs.google.com/spreadsheets/d/11HATYc3RYO4V1IvfhTmrDGiaBvwFfY84Y6mz5ApJ10A/edit#gid=462503447
Velocity,Bengaluru,Finance,,2023-09-15,https://inc42.com/buzz/exclusive-revenue-based-financing-platform-velocity-lays-off-around-14-workforce/,30.0,Series A,2023-09-20 21:18:14,India,0.14,Unknown
Airtable,SF Bay Area,Product,237,2023-09-14,https://www.forbes.com/sites/stevenbertoni/2023/09/14/unicorn-startup-airtable-lays-off-27-of-firm-shifts-focus-to-big-clients/?sh=171151534589,1400.0,Series F,2023-09-14 15:48:51,United States,0.27,Unknown
Project44,Chicago,Logistics,116,2023-09-14,https://www.freightwaves.com/news/freighttech-industry-isnt-what-it-was-a-year-ago,817.0,Unknown,2023-09-20 21:16:01,United States,,Unknown
VideoAmp,Los Angeles,Marketing,40,2023-09-14,https://www.axios.com/2023/09/14/videoamp-layoffs,456.0,Series F,2023-09-20 21:15:06,United States,0.1,Unknown
R3,New York City,Crypto,,2023-09-14,https://www.bloomberg.com/news/articles/2023-09-14/blockchain-startup-r3-trims-fifth-of-jobs-in-cost-cutting-drive#xj4y7vzkg,112.0,Series A,2023-09-14 23:07:48,United States,0.2,Unknown
Google,SF Bay Area,Consumer,75,2023-09-13,https://www.eastbaytimes.com/2023/10/31/google-tech-job-cut-layoff-bay-area-economy-office-lease-alphabet/,26.0,Post-IPO,2023-09-13 19:47:38,United States,,Unknown
Akili Labs,Boston,Healthcare,,2023-09-13,https://www.bizjournals.com/boston/news/2023/09/13/akili-interactive-layoffs-september-2023-otc.html,301.0,Post-IPO,2023-09-14 18:07:26,United States,0.4,Unknown
Evolve,Denver,Travel,175,2023-09-12,https://skift.com/2023/09/13/property-manager-evolve-lays-off-20-of-its-workforce/amp/,224.0,Series F,2023-09-14 13:55:27,United States,0.2,Unknown
Binance.US,SF Bay Area,Crypto,100,2023-09-12,https://www.bloomberg.com/news/articles/2023-09-12/binance-us-cuts-100-positions-as-crackdown-erodes-crypto-business#xj4y7vzkg,,Subsidiary,2023-09-13 02:11:53,United States,0.33,Unknown
Paper,Montreal,Education,87,2023-09-12,https://paper.co/inside-paper/a-message-from-paper-founders-0,389.0,Series D,2023-09-14 13:57:39,Canada,0.03,Unknown
Homeday,Berlin,Real Estate,40,2023-09-12,https://www.businessinsider.de/gruenderszene/business/mcmakler-rivale-homeday-verkauft-gruender-und-viele-mitarbeiter-weg/,71.0,Unknown,2023-09-13 01:07:07,Germany,0.2,Unknown
At-Bay,SF Bay Area,Security,27,2023-09-12,https://www.calcalistech.com/ctechnews/article/sypw6110a3,296.0,Unknown,2023-09-06 01:52:51,United States,0.09,Unknown
Eurora,Tallinn,Other,111,2023-09-11,https://www.aripaev.ee/uudised/2023/09/11/maksuvolga-jaanud-idufirma-eurora-koondab-ule-100-tootaja,42.0,Series A,2023-09-11 15:30:43,Estonia,,Unknown
Chargebee,SF Bay Area,Finance,100,2023-09-11,https://inc42.com/buzz/tiger-global-backed-chargebee-fires-10-workforce-in-2nd-round-of-layoffs/,468.0,Series H,2023-09-11 15:33:14,United States,0.1,Unknown
Divvy Homes,SF Bay Area,Real Estate,94,2023-09-11,https://techcrunch.com/2023/09/11/divvy-homes-goes-from-2b-valuation-to-third-layoff-in-a-year/,180.0,Series B,2023-09-09 14:37:39,United States,,Unknown
Grabango,SF Bay Area,Food,34,2023-09-11,https://docs.google.com/spreadsheets/d/1WvO3p93hUJjOCJHn4Ig3tu-nbPfGpJfiEURsY5zBRWI/edit#gid=827597978,94.0,Unknown,2023-09-13 02:21:34,United States,0.4,https://docs.google.com/spreadsheets/d/1WvO3p93hUJjOCJHn4Ig3tu-nbPfGpJfiEURsY5zBRWI/edit#gid=827597978
Bonterra ,Austin,Other,,2023-09-11,https://campaignsandelections.com/industry-news/staff-shake-ups-at-two-big-democratic-tech-companies/,,Unknown,2023-09-21 07:18:58,United States,,Unknown
Mollie,Amsterdam,Finance,,2023-09-11,https://nltimes.nl/2023/09/11/payment-service-mollie-announces-first-reorganization-years-unbridled-growth,928.0,Series C,2023-09-11 15:31:55,Netherlands,,Unknown
Oyster,Charlotte,HR,,2023-09-11,https://oysterhr.notion.site/A-message-from-Oyster-s-CEO-Tony-Jamous-4f56b1d14252420885edffe23b194857,224.0,Series C,2023-09-13 01:56:30,United States,,Unknown
ChargePoint,SF Bay Area,Manufacturing,,2023-09-08,https://investorplace.com/2023/09/chargepoint-layoffs-2023-what-to-know-about-the-latest-chpt-job-cuts/,1400.0,Unknown,2023-09-08 16:04:49,United States,0.1,Unknown
Sensor Tower,SF Bay Area,Marketing,,2023-09-08,https://techcrunch.com/2023/09/08/market-intelligence-firm-sensor-tower-conducts-layoffs-several-execs-out/,46.0,Private Equity,2023-09-09 14:40:58,United States,,Unknown
Drift,Boston,Marketing,100,2023-09-07,https://www.bizjournals.com/boston/news/2023/09/07/drift-second-round-layoffs.html,107.0,Acquired,2023-09-09 14:40:14,United States,0.25,Unknown
Hijra,Jakarta,Finance,,2023-09-07,https://www.techinasia.com/indonesian-shariah-fintech-firm-hijra-lays-employees,67.0,Unknown,2023-09-08 15:58:25,Indonesia,,Unknown
Roku,SF Bay Area,Media,360,2023-09-06,https://www.cnbc.com/2023/09/06/roku-to-lay-off-10percent-of-workforce-stock-jumps.html,208.0,Post-IPO,2023-09-06 23:37:23,United States,0.1,Unknown
ForeScout,Tel Aviv,Security,40,2023-09-06,https://www.calcalistech.com/ctechnews/article/sjdyqira3,125.0,Acquired,2023-09-09 14:29:05,United States,,Unknown
Better.com,New York City,Real Estate,,2023-09-06,https://www.businessinsider.com/mortgage-startup-better-cut-jobs-after-spac-merger-stock-debut-2023-9,905.0,Unknown,2023-09-24 17:46:57,United States,,Unknown
Blue Origin,Seattle,Aerospace,,2023-09-06,https://www.geekwire.com/2023/rare-layoffs-blue-origin-hr/,167.0,Unknown,2023-09-08 16:01:57,United States,,Unknown
iSpecimen,Boston,Healthcare,,2023-09-06,https://seekingalpha.com/news/4009713-ispecimen-to-lay-off-20-of-its-employees-as-it-seeks-profitability,31.0,Post-IPO,2023-09-09 14:27:47,United States,0.2,Unknown
MaxMilhas,Belo Horizonte,Travel,82,2023-09-05,https://g1.globo.com/mg/minas-gerais/noticia/2023/09/05/maxmilhas-do-grupo-da-123-milhas-anuncia-corte-de-18percent-dos-funcionarios.ghtml,,Unknown,2023-09-06 01:55:33,Brazil,0.18,Unknown
Absci,Portland,Healthcare,30,2023-09-05,https://www.geekwire.com/2023/biotech-company-absci-lays-off-30-employees-about-15-of-staff/,238.0,Post-IPO,2023-09-07 15:26:54,United States,0.15,Unknown
Hodinkee,New York City,Retail,24,2023-09-05,"https://ww.fashionnetwork.com/news/Lvmh-backed-luxury-watch-site-hodinkee-cuts-a-fifth-of-jobs,1552691.html",40.0,Seed,2023-09-06 01:54:32,United States,0.2,Unknown
Talent.com,Montreal,Recruiting,,2023-09-05,https://aimgroup.com/2023/09/05/talent-com-staff-use-linkedin-to-announce-more-layoffs/,150.0,Series B,2023-09-07 15:29:04,Canada,,Unknown
mPharma,Accra,Healthcare,150,2023-09-04,https://techcabal.com/2023/09/04/exclusive-mpharma-lays-off-150-employees-due-to-tightening-macroenomic-conditions/,90.0,Series D,2023-09-07 15:29:34,Ghana,,Unknown
Xolo,Tallinn,Finance,24,2023-09-04,https://arileht.delfi.ee/artikkel/120229031/vabakutseliste-platvorm-xolo-koondab-tootajaid-eesmark-on-jouda-kasumisse,11.0,Series A,2023-09-04 23:15:00,Estonia,,Unknown
Nexar,New York City,Transportation,17,2023-09-04,https://www.calcalistech.com/ctechnews/article/rktq3gqc3,149.0,Series D,2023-09-04 23:16:03,United States,0.14,Unknown
Khatabook,Bengaluru,Finance,42,2023-09-01,https://entrackr.com/2023/09/peak-xv-backed-khatabook-lays-off-over-40-employees/,187.0,Series C,2023-09-04 23:08:53,India,,Unknown
Clearcover,Chicago,Finance,,2023-09-01,https://coverager.com/clearcover-makes-additional-cuts/,304.0,Series D,2023-09-01 23:38:09,United States,0.28,Unknown
Gated,SF Bay Area,Other,,2023-09-01,https://www.linkedin.com/posts/gated_hello-gated-community-weve-some-news-to-activity-7103355034842628096-MOYT/,3.0,Seed,2023-09-04 23:11:50,United States,1.0,Unknown
Lunchtime,Brno,Food,,2023-09-01,https://inc42.com/buzz/foodtech-giant-zomato-shutters-czech-subsidiary-lunchtime/,,Acquired,2023-09-04 23:18:14,Czech Republic,1.0,Unknown
Pegasystems,Boston,HR,240,2023-08-31,https://www.bizjournals.com/boston/news/2023/08/31/pegasystems-layoffs-second-round.html,,Post-IPO,2023-09-01 02:31:34,United States,0.04,Unknown
Biofourmis,Boston,Healthcare,120,2023-08-31,https://www.peoplematters.in/news/leadership/biofourmis-ceo-resigns-abruptly-after-layoffs-firm-begins-new-ceo-search-38874,464.0,Series D,2023-09-01 02:41:26,United States,,Unknown
Malwarebytes,SF Bay Area,Security,100,2023-08-31,https://techcrunch.com/2023/08/31/malwarebytes-layoffs-business-split/,80.0,Series B,2023-08-31 18:17:49,United States,,Unknown
Expedia,Seattle,Travel,,2023-08-31,https://www.geekwire.com/2023/internal-email-expedia-group-lays-off-some-tech-workers-in-latest-move-to-reshape-its-workforce/,3300.0,Post-IPO,2023-09-04 23:11:11,United States,,Unknown
Productboard,SF Bay Area,Product,,2023-08-31,https://www.businessinsider.com/kleiner-perkins-sequoia-and-bessemer-backed-productboard-fourth-round-layoffs-2024-1,,Series D,2024-01-27 14:08:17,United States,0.1,Unknown
SkyKick,Seattle,Other,140,2023-08-30,https://www.geekwire.com/2023/cloud-automation-startup-skykick-lays-off-181-employees-in-washington-state/,198.0,Unknown,2023-08-30 23:48:56,United States,,Unknown
Omuni,Bengaluru,Retail,60,2023-08-30,https://inc42.com/buzz/exclusive-shiprocket-owned-omuni-fires-nearly-35-workforce-ceo-cto-to-exit/,10.0,Acquired,2023-08-30 15:21:22,India,0.35,Unknown
Kenko Health,Mumbai,Healthcare,50,2023-08-30,https://www.businessinsider.in/business/startups/news/healthcare-startup-kenko-health-lays-off-20-of-workforce-across-functions/articleshow/103201380.cms,14.0,Series A,2023-09-01 02:35:51,India,0.2,Unknown
Huma,London,Healthcare,45,2023-08-30,https://sifted.eu/articles/uk-healthtech-huma-layoffs,217.0,Unknown,2023-08-30 23:46:42,United Kingdom,0.1,Unknown
Zeplin,SF Bay Area,Product,37,2023-08-30,https://sfstandard.com/2023/08/30/san-francisco-software-startup-lays-off-one-third-of-workforce/,1.0,Seed,2023-08-30 23:45:48,United States,0.35,Unknown
Kenko Health,Mumbai,Healthcare,50,2023-08-29,https://entrackr.com/2023/08/exclusive-kenko-health-lays-off-20-of-workforce/,14.0,Unknown,2023-08-29 15:18:58,India,0.2,Unknown
123Milhas,Belo Horizonte,Travel,,2023-08-29,https://economia.uol.com.br/noticias/redacao/2023/08/28/123milhas-demissao-funcionarios.htm,,Unknown,2023-10-06 15:21:03,Brazil,,Unknown
Zebra Technologies,Chicago,Manufacturing,700,2023-08-28,https://www.chicagobusiness.com/technology/zebra-technologies-cuts-700-jobs-or-7-percent-bar-code-maker-workforce,2000.0,Post-IPO,2023-08-28 20:14:19,United States,0.07,Unknown
CoinSwitch,Bengaluru,Crypto,44,2023-08-28,https://entrackr.com/2023/08/crypto-firm-coinswitch-kuber-lays-off-44-employees/,301.0,Series C,2023-08-28 20:17:49,India,,Unknown
Clockwork,Dallas,Crypto,,2023-08-28,8/28/solana-based-automation-startup-clockwork-to-shut-down/,4.0,Seed,2023-08-28 23:05:00,United States,1.0,Unknown
SenseTime,Hong Kong,AI,,2023-08-28,https://technode.com/2023/08/28/chinese-ai-company-sensetime-initiates-new-round-of-layoffs-in-overhaul/,2600.0,Post-IPO,2023-08-28 20:33:59,Hong Kong,,Unknown
HackerRank,SF Bay Area,Recruiting,53,2023-08-27,https://telecom.economictimes.indiatimes.com/news/internet/hackerrank-lays-off-53-employees-amid-economic-uncertainty/103102308,103.0,Series D,2023-08-28 20:30:04,United States,,Unknown
Cuemath,Bengaluru,Education,100,2023-08-26,https://inc42.com/buzz/edtech-startup-cuemath-fires-another-100-employees-to-cut-costs/,121.0,Unknown,2023-08-27 02:37:50,India,,Unknown
Fortinet,SF Bay Area,Security,,2023-08-25,https://www.crn.com/news/security/fortinet-makes-cuts-to-sales-channel-business-development-groups,89.0,Post-IPO,2023-08-27 02:37:10,United States,,Unknown
Captiv8,SF Bay Area,Marketing,8,2023-08-24,https://www.prweek.com/article/1835107/influencer-marketing-platform-captiv8-lays-off-eight-employees-3-staff,4.0,Unknown,2023-08-25 20:23:49,United States,0.03,Unknown
Chingari,Bengaluru,Media,,2023-08-24,https://inc42.com/buzz/exclusive-chingari-sacks-over-50-employees-in-second-round-of-layoffs/,88.0,Unknown,2023-08-24 22:08:08,India,0.5,Unknown
Atlas,Chicago,HR,150,2023-08-23,https://www.forbes.com/sites/angelicamarideoliveira/2023/08/24/hrtech-atlas-announces-layoffs-six-months-post-brazil-launch/?sh=31ea27cb6b7d,220.0,Series B,2023-08-24 22:12:01,United States,0.3,Unknown
Veriff,Tallinn,Security,101,2023-08-23,https://digipro.geenius.ee/rubriik/uudis/veriff-koondab-taas-sel-korral-peab-lahkuma-viiendik-tootajaist/,192.0,Series C,2023-08-23 23:23:14,Estonia,0.21,Unknown
BlackLine,Los Angeles,Finance,95,2023-08-23,https://beststocks.com/blackline-announces-workforce-reduction-to-st/,220.0,Post-IPO,2023-08-24 22:09:50,United States,0.05,Unknown
Rivos,SF Bay Area,Hardware,24,2023-08-23,https://www.theinformation.com/articles/chip-startup-sued-by-apple-has-struggled-to-raise-capital,,Unknown,2023-11-10 00:05:37,United States,0.06,Unknown
Cellulant,Nairobi,Finance,,2023-08-23,https://techeconomy.ng/cellulant-to-lay-off-20-of-its-workforce/,54.0,Series C,2023-08-24 22:10:32,Kenya,0.2,Unknown
JOIN,Berlin,Recruiting,,2023-08-23,https://docs.google.com/spreadsheets/d/1bsu6O2DCEkzM-4Ny8q6HmLZ2DGfjpZVYdxTOgg3z23M/edit?resourcekey#gid=2104038854,,Unknown,2023-08-25 20:49:41,Germany,,https://docs.google.com/spreadsheets/d/1bsu6O2DCEkzM-4Ny8q6HmLZ2DGfjpZVYdxTOgg3z23M/edit?resourcekey#gid=2104038854
Getir,London,Food,2500,2023-08-22,https://www.reuters.com/world/middle-east/turkeys-getir-cut-11-workers-global-restructuring-2023-08-22/,1800.0,Series E,2023-08-22 15:44:03,United Kingdom,0.11,Unknown
CoinDCX,Mumbai,Crypto,,2023-08-22,https://www.moneycontrol.com/europe/?url=https://www.moneycontrol.com/news/business/crypto-exchange-coindcx-lays-off-12-of-workforce-11236611.html,247.0,Series D,2023-08-23 00:01:37,India,0.12,Unknown
Datagen,Tel Aviv,AI,,2023-08-22,https://www.calcalistech.com/ctechnews/article/h1f0hxft3,72.0,Series B,2023-08-23 23:25:53,Israel,,Unknown
Hypefast,Jakarta,Retail,,2023-08-22,https://www.techinasia.com/indonesian-brand-aggregator-hypefast-lays-30-staff,33.0,Series A,2023-08-25 20:24:49,Indonesia,0.3,Unknown
Tempo Automation,SF Bay Area,Other,,2023-08-22,https://www.bizjournals.com/sanfrancisco/news/2023/08/22/tmpo-asia-io-layoffs-san-francisco-manufacturing.html,154.0,Post-IPO,2023-08-23 23:27:07,United States,,Unknown
Recur,Miami,Crypto,,2023-08-21,https://www.theblock.co/post/246477/recur-to-shut-down-less-than-two-years-after-raising-50-million-in-series-a,55.0,Series A,2023-08-23 00:01:07,United States,,Unknown
Unite Us,New York City,Healthcare,,2023-08-21,https://www.fiercehealthcare.com/health-tech/unite-us-lays-employees-amid-negative-ebitda-margins,196.0,Series C,2023-09-09 14:31:33,United States,,Unknown
Twiga,Nairobi,Food,283,2023-08-20,https://techcabal.com/2023/08/20/twiga-foods-lays-off-283-employees/,157.0,Series C,2023-08-22 23:59:53,Kenya,0.33,Unknown
Spartan Poker,Kolkata,Consumer,125,2023-08-19,https://inc42.com/buzz/after-mpl-hike-spartan-poker-follows-suit-lays-off-40-of-workforce/,,Unknown,2023-08-19 15:42:16,India,0.4,Unknown
Times Internet ,Gurugram,Media,100,2023-08-18,Times Internet ,,Subsidiary,2023-08-19 15:40:33,India,0.05,Unknown
Detectify,Stockholm,Security,30,2023-08-18,https://www.breakit.se/artikel/37377/sakrade-kapital-nu-far-annu-fler-ga-fran-detectify,42.0,Unknown,2023-10-23 02:26:52,Sweden,,Unknown
Embrace,SF Bay Area,Product,,2023-08-18,https://www.linkedin.com/posts/futoran_healthy-does-not-mean-infinite-while-embrace-activity-7097259048655355904-4JnJ/,77.0,Unknown,2023-09-01 23:36:37,United States,,Unknown
Zylo,Indianapolis,Other,,2023-08-18,https://www.insideindianabusiness.com/articles/indy-tech-company-zylo-conducts-layoffs,72.0,Series C,2023-08-19 15:39:53,United States,0.1,Unknown
Illumina,San Diego,Healthcare,151,2023-08-17,https://www.sandiegouniontribune.com/business/story/2023-08-17/illumina-lays-off-151-san-diego-workers,28.0,Post-IPO,2023-08-19 15:33:35,United States,,Unknown
AppFolio,Santa Barbara,Real Estate,149,2023-08-17,https://www.pacbiztimes.com/2023/08/17/appfolio-lays-off-9-of-workforce-in-second-round-of-2023-cuts/,30.0,Post-IPO,2023-08-18 15:11:37,United States,0.09,Unknown
Intel,SF Bay Area,Hardware,140,2023-08-17,https://www.tomshardware.com/news/intel-to-make-further-workforce-cuts-in-us-report,12.0,Post-IPO,2023-08-19 15:36:35,United States,,Unknown
StreamElements,Tel Aviv,Media,60,2023-08-17,https://www.calcalistech.com/ctechnews/article/s1xjtrs22,111.0,Series B,2023-08-18 15:14:26,Israel,0.35,Unknown
CircleCI,SF Bay Area,Product,,2023-08-17,Internal memo,315.0,Series F,2023-08-18 15:13:18,United States,,Unknown
FlexCar,Boston,Transportation,20,2023-08-16,https://www.bizjournals.com/boston/news/2023/08/16/flexcar-layoffs-2023.html,297.0,Unknown,2023-08-18 15:09:23,United States,,Unknown
Xendit,Jakarta,Finance,,2023-08-16,https://www.techinasia.com/xendit-conducts-layoffs-product-team-affected,534.0,Series D,2024-02-02 16:26:33,Indonesia,,Unknown
Noice,Helsinki,Consumer,,2023-08-15,https://www.techinasia.com/noice-lays-off-restructuring,5.0,Seed,2023-08-15 16:35:44,Finland,,Unknown
SecureWorks,Atlanta,Security,300,2023-08-14,https://techcrunch.com/2023/08/14/secureworks-second-round-layoffs-this-year/,83.0,Post-IPO,2023-08-14 21:19:12,United States,0.15,Unknown
Easee,Sandnes,Energy,200,2023-08-14,https://www.dn.no/teknologi/easee/jonas-helmikstol/kjetil-nasje/easee-med-masseoppsigelser-grunder-og-toppsjef-jonas-helmikstol-gar-av/2-1-1500472,,Unknown,2023-08-19 15:38:28,Norway,0.57,Unknown
CoinDesk,New York City,Crypto,,2023-08-14,https://www.theblock.co/post/244665/coindesk-lays-off-45-of-editorial-staff-as-it-eyes-deal-to-sell-company,,Acquired,2023-08-15 00:09:53,United States,,Unknown
iQiyi Smart,Beijing,Other,,2023-08-14,https://www.caixinglobal.com/2023-08-14/iqiyis-vr-unit-fails-to-pay-staff-slashes-jobs-as-metaverse-hype-fades-102093155.html,,Series C,2023-08-15 16:34:29,China,,Unknown
LingoAce,Singapore,Education,,2023-08-11,https://www.techinasia.com/entire-teams-overnight-lingoace-laid-hundreds-expansion-hurdles,180.0,Series C,2023-08-15 16:35:22,Singapore,,Unknown
Shutterfly,Minneapolis,Manufacturing,246,2023-08-10,https://www.cbsnews.com/minnesota/news/shutterfly-closing-shakopee-plant/,50.0,Post-IPO,2023-08-11 15:21:17,United States,,Unknown
SHINE Technologies,Milwaukee,Other,59,2023-08-10,https://www.nbc15.com/2023/08/10/janesville-based-shine-announces-layoffs-days-after-announcing-nuclear-fusion-breakthrough/,672.0,Series C,2023-08-11 15:19:34,United States,,Unknown
Hike,New Delhi,Consumer,55,2023-08-10,https://economictimes.indiatimes.com/tech/startups/hike-lays-off-around-55-people-after-gst-hike-on-online-gaming/articleshow/102608819.cms?from=mdr,261.0,Unknown,2023-08-11 15:06:32,India,,Unknown
NCC Group,Manchester,Security,,2023-08-10,https://techcrunch.com/2023/08/10/ncc-group-layoffs/,,Post-IPO,2023-08-17 00:28:47,United Kingdom,,Unknown
Blend,SF Bay Area,Finance,150,2023-08-09,http://archive.fast-edgar.com/20230809/A7L2K22CZ22282Z2222G22ZZMTBIQQB2A252/,665.0,Post-IPO,2023-08-11 15:00:48,United States,0.19,Unknown
Niantic,Los Angeles,Other,100,2023-08-09,https://www.bizjournals.com/losangeles/news/2023/08/09/niantic-100-layoffs-los-angeles.html,770.0,Series D,2023-08-11 15:04:05,United States,,Unknown
Babylon Health,London,Healthcare,94,2023-08-09,https://www.fiercehealthcare.com/digital-health/babylon-closes-us-business-lays-employees-after-mindmaze-take-private-deal-collapses,1200.0,Post-IPO,2023-08-11 15:13:59,United Kingdom,,Unknown
Dealtale,Tel Aviv,Sales,70,2023-08-09,https://www.calcalistech.com/ctechnews/article/rkn8dlz32,2.0,Acquired,2023-08-11 15:04:56,United States,1.0,Unknown
Bukalapak,Jakarta,Retail,,2023-08-09,https://www.techinasia.com/bukalapak-conducts-new-round-of-layoffs,925.0,Post-IPO,2023-08-09 17:56:24,Indonesia,,Unknown
Podium,Lehi,Support,,2023-08-09,Internal memo,419.0,Series D,2023-08-11 15:15:11,United States,,Unknown
Quizy,Gurugram,Consumer,,2023-08-09,https://www.timesnownews.com/business-economy/companies/gst-hike-impact-gaming-startup-quizy-shuts-down-what-lies-ahead-for-online-gaming-companies-article-102571971,,Seed,2023-08-09 17:59:13,India,1.0,Unknown
StyleSeat,SF Bay Area,Consumer,,2023-08-09,https://docs.google.com/spreadsheets/d/1q4eOXAZiboWrj3goaBeOKfGOKP3ONsVQkXxDH1nXZw0/edit#gid=0,40.0,Series C,2023-10-02 16:08:11,United States,0.17,https://docs.google.com/spreadsheets/d/1q4eOXAZiboWrj3goaBeOKfGOKP3ONsVQkXxDH1nXZw0/edit#gid=0
